tested word	predicted word
if	he
then	them
no	on
me	of
these	there
er	dr
no	on
erm	fro
us	up
go	in
mr	or
night	might
mm	on
home	good
war	was
go	in
am	an
saw	say
gave	have
line	kind
view	they
care	case
food	done
gone	good
home	good
b	a
uk	tl
cos	cop
us	up
soon	room
award	aware
game	hand
c	a
pay	say
round	sound
boy	any
fine	find
red	see
pounds	sounds
sun	run
round	sound
wide	wife
season	reason
paid	said
page	said
goods	homes
blood	alone
ah	ai
york	work
purpose	suppose
lack	jack
seem	seen
hot	got
past	part
post	sort
male	make
base	case
box	any
past	part
mum	nun
p	s
aid	age
seem	seen
stone	stood
mhm	mgm
bar	car
ball	call
gas	has
gold	hold
ec	da
e	d
band	came
no	on
offer	needs
past	part
sight	right
win	who
tree	used
games	hands
pound	sound
shape	share
wine	wind
user	uses
lay	law
rain	pain
sold	role
offer	needs
note	move
sites	river
join	john
card	case
cut	but
cell	bell
ian	ibm
r	s
bus	cup
corp	boss
tom	too
crown	brown
v	t
aim	ago
lose	lord
kinds	lines
phase	share
brief	cried
ooh	moi
paying	saying
save	rate
grey	grew
o	m
mine	mind
pay	say
un	to
hole	hold
h	i
inner	homes
add	bed
anne	come
tall	talk
odd	off
offices	officer
afford	before
bbc	cab
n	m
harry	happy
sick	pick
fast	east
meal	neck
walk	wall
n	m
net	met
committed	committee
sum	run
g	i
roof	some
cut	but
nose	more
lies	kids
co	an
ice	had
runs	stop
ref	see
rail	sail
noted	moved
autumn	button
f	d
cat	act
cards	cases
add	bed
loan	joan
th	uh
walk	wall
tired	three
jane	land
cut	but
cope	core
pub	rub
chain	again
lee	led
notion	motion
paid	said
dear	fear
ages	aids
care	case
images	inches
pay	say
dear	fear
wet	yet
round	sound
aside	cried
scope	score
sons	poor
gate	have
golf	hold
gap	has
die	did
rome	some
abuse	cause
pure	sure
dna	doc
offer	needs
v	t
pale	sale
stones	summer
coat	boat
mill	milk
fight	eight
cycle	awake
mood	none
employee	employed
mile	mike
fast	east
bid	age
proud	prove
ken	leo
sake	sale
pace	race
sheep	sides
chances	chamber
cool	book
l	k
note	move
y	x
port	sort
sand	same
defeat	effect
fees	deep
fee	fed
ends	does
fight	eight
wear	year
poll	roll
cut	but
remote	remove
kong	long
mp	or
sam	ran
wore	word
peak	real
rent	sent
ear	far
clock	block
andy	body
cake	able
aged	aide
round	sound
holes	holds
waves	water
deaf	dead
fat	eat
keith	leith
selected	rejected
dave	date
writes	writer
aha	cia
cattle	battle
purely	surely
zone	wood
san	ran
rang	sang
produces	producer
nhs	mir
net	met
ban	can
sold	role
raw	say
bone	come
me	of
joy	low
lake	jake
bars	cars
anna	bomb
pipe	rise
lane	land
rid	she
charter	chapter
bones	comes
adds	beer
keys	jews
sole	role
win	who
males	makes
tool	took
j	k
posts	sorts
lane	land
red	see
cotton	bottom
male	make
walk	wall
bare	case
fate	date
wire	wise
poet	soft
routes	potter
beds	beer
save	rate
noted	moved
fred	free
cm	an
tale	take
u	t
go	in
lands	james
past	part
bulk	bull
sheer	sides
davies	father
picking	shaking
kate	late
refer	seeds
win	who
lords	loses
moves	notes
tin	tim
bonds	comes
shapes	shares
marx	mary
asian	brian
cap	car
barry	carry
c	a
