class	subscriber	messagebody	timestamp	type
0	1	hey sir i have a question on software i am doing that timeline for john but i am trying name the identity the guys name for a event and the next event ha	4/4/11 14:40	Incoming
0	1	s the same guys name as the first but it will not let me to name the second identity the same as the first identity is there a way around that or some	4/4/11 14:40	Incoming
0	1	thing that i have to do to allow me to do it	4/4/11 14:40	Incoming
0	1	ok thank u sir	4/4/11 14:42	Incoming
0	1	go to item properties and select label	4/4/11 14:42	Outgoing
0	1	ok kewl	4/4/11 14:42	Outgoing
0	1	hmmm it will not allow me to i right click on the event hit copy and right click else where on the timeline and hit paste it just rehighlights the event	4/4/11 14:48	Incoming
0	1	i was trying to duplicate	4/4/11 14:48	Incoming
0	1	i think it duplicates in that exact physical location	4/4/11 14:49	Outgoing
0	1	see if it is stacked on other one	4/4/11 14:49	Outgoing
0	1	i tried to click on the top one and change the date and time but if it is stacking it moves the entire stack to that location then	4/4/11 14:50	Incoming
0	1	hmm guess u may have to recreate it then	4/4/11 14:50	Outgoing
0	1	wait i remember how	4/4/11 14:51	Outgoing
0	1	ok not a problem just checking	4/4/11 14:51	Incoming
0	1	yup	4/4/11 14:53	Outgoing
0	1	got it you have to drag with the arrow not the hand	4/4/11 15:00	Incoming
0	1	yes or unpinned them	4/4/11 15:10	Outgoing
0	1	question when there are two people arguing would you show two different event bubbles and link them together with the description of the event	4/4/11 15:12	Incoming
0	1	people should not be events	4/4/11 15:28	Outgoing
0	1	he should be entered as a regular entity	4/4/11 15:28	Outgoing
0	1	there are tabs above the icons	4/4/11 15:37	Outgoing
0	1	no i would only make incidents events	4/4/11 15:39	Outgoing
0	1	make people standard entities and link them to events	4/4/11 15:39	Outgoing
0	1	u only see the icon	4/4/11 15:41	Outgoing
0	1	because people will be linked to multiple events	4/4/11 15:41	Outgoing
0	1	ok	4/4/11 15:42	Incoming
0	1	or u can make him a timeline if he is linked to all the events	4/4/11 15:42	Outgoing
0	1	ok so i should just make one associate and link then to all the different events	4/4/11 15:42	Incoming
0	1	hang on	4/4/11 15:42	Outgoing
0	1	not quite all of them	4/4/11 15:43	Incoming
0	1	ok	4/4/11 15:43	Incoming
0	1	ok	4/4/11 15:44	Incoming
0	1	ok	4/4/11 15:44	Incoming
0	1	click add computer	4/4/11 15:45	Outgoing
0	1	install software	4/4/11 15:45	Outgoing
0	1	tell me when ready	4/4/11 15:47	Outgoing
0	1	almost	4/4/11 15:47	Incoming
0	1	alright	4/4/11 15:48	Incoming
0	1	it says no remote users are connected	4/4/11 15:49	Incoming
0	1	change it to temp pw then give me it	4/4/11 15:52	Outgoing
0	1	just sent to u as outlook contact	4/5/11 8:45	Outgoing
0	1	thank u sir	4/5/11 8:45	Incoming
0	1	just found email where i mention his name but no contact info	4/5/11 8:45	Outgoing
0	1	ahh ic	4/5/11 8:46	Outgoing
0	1	yup lol	4/5/11 8:54	Incoming
0	2	what time will u b here for dinner	4/5/11 9:33	Incoming
0	2	when tim is done working on ur roommates car we r coming over together	4/5/11 9:35	Outgoing
0	1	ok thank you sir	4/5/11 11:15	Incoming
0	1	that is probably fine	4/5/11 16:04	Outgoing
0	1	ok timelines are kind of a pain to do with all the different connections and being able to move it all around	4/5/11 16:05	Incoming
0	1	edit the objects and set them all to free	4/5/11 16:05	Outgoing
0	1	then u can move them yourself	4/5/11 16:06	Outgoing
0	2	hey u on the road whats ur eta	4/5/11 17:31	Incoming
0	1	how did u get passed the data loss when you try to print it out on the plotter	4/6/11 10:12	Incoming
0	1	you just shrink it then blow it up as pdf to print it	4/6/11 12:33	Outgoing
0	1	resolution is good	4/6/11 12:33	Outgoing
0	1	yes	4/6/11 13:26	Outgoing
0	1	no it shrinks it for you in page setup	4/6/11 13:27	Outgoing
0	1	u tell it to fit to whatever paper size and it will	4/6/11 13:27	Outgoing
0	1	then export as pdf	4/6/11 13:28	Outgoing
0	1	he plotter	4/6/11 13:31	Incoming
